Iteration	CPUTime	PhysTime	Travels
1	0	0	0.00227272727
5	1	0	0.0113636364
10	1	0	0.0227272727
15	2	0	0.0340909091
20	2	0	0.0454545455
25	3	0	0.0568181818
30	3	0	0.0681818182
35	4	0	0.0795454545
40	4	0	0.0909090909
45	5	0	0.102272727
50	5	0	0.113636364
55	6	0	0.125
60	6	0	0.136363636
65	7	0	0.147727273
70	8	0	0.159090909
75	8	0	0.170454545
80	9	0	0.181818182
85	9	0	0.193181818
90	10	0	0.204545455
95	10	0	0.215909091
100	11	0	0.227272727
105	12	0	0.238636364
110	13	0	0.25
115	13	0	0.261363636
120	14	0	0.272727273
125	14	0	0.284090909
130	15	0	0.295454545
135	16	0	0.306818182
140	16	0	0.318181818
145	17	0	0.329545455
150	17	0	0.340909091
155	18	0	0.352272727
160	19	0	0.363636364
165	19	0	0.375
170	20	0	0.386363636
175	20	0	0.397727273
180	21	0	0.409090909
185	22	0	0.420454545
190	22	0	0.431818182
195	23	0	0.443181818
200	24	0	0.454545455
205	24	0	0.465909091
210	25	0	0.477272727
215	26	0	0.488636364
220	26	0	0.5
225	27	0	0.511363636
230	28	0	0.522727273
235	28	0	0.534090909
240	29	0	0.545454545
245	30	0	0.556818182
250	30	0	0.568181818
255	31	0	0.579545455
260	32	0	0.590909091
265	32	0	0.602272727
270	33	0	0.613636364
275	34	0	0.625
280	35	0	0.636363636
285	35	0	0.647727273
290	36	0	0.659090909
295	37	0	0.670454545
300	37	0	0.681818182
305	38	0	0.693181818
310	39	0	0.704545455
315	40	0	0.715909091
320	40	0	0.727272727
325	41	0	0.738636364
330	42	0	0.75
335	42	0	0.761363636
340	43	0	0.772727273
345	44	0	0.784090909
350	44	0	0.795454545
355	45	0	0.806818182
360	45	0	0.818181818
365	46	0	0.829545455
370	47	0	0.840909091
375	48	0	0.852272727
380	48	0	0.863636364
385	49	0	0.875
390	50	0	0.886363636
395	51	0	0.897727273
400	51	0	0.909090909
405	52	0	0.920454545
410	53	0	0.931818182
415	54	0	0.943181818
420	54	0	0.954545455
425	55	0	0.965909091
430	56	0	0.977272727
435	57	0	0.988636364
440	57	0	1
445	58	0	1.01136364
450	59	0	1.02272727
455	60	0	1.03409091
460	61	0	1.04545455
465	61	0	1.05681818
470	62	0	1.06818182
475	63	0	1.07954545
480	64	0	1.09090909
485	65	0	1.10227273
490	66	0	1.11363636
495	66	0	1.125
500	67	0	1.13636364
505	68	0	1.14772727
510	69	0	1.15909091
515	70	0	1.17045455
520	70	0	1.18181818
525	71	0	1.19318182
530	72	0	1.20454545
535	72	0	1.21590909
540	73	0	1.22727273
545	74	0	1.23863636
550	75	0	1.25
555	75	0	1.26136364
560	76	0	1.27272727
565	76	0	1.28409091
570	77	0	1.29545455
575	78	0	1.30681818
580	78	0	1.31818182
585	79	0	1.32954545
590	79	0	1.34090909
595	80	0	1.35227273
600	80	0	1.36363636
605	81	0	1.375
610	81	0	1.38636364
